,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,classification
29,-84,-75,100,100,-74,-61,100,100,100,100,100,100,-75,-92,-91,100,-77,100,100,100,100,100,100,100,-59,35
30,-88,-75,100,100,-88,-64,100,100,100,100,100,100,-76,-86,100,100,-80,-98,100,100,100,100,100,100,-61,35
31,-83,-76,100,100,-75,-61,100,100,100,100,100,100,-75,-94,100,100,-77,100,100,100,100,100,100,100,-59,35
32,-84,-76,100,100,-74,-62,100,100,100,100,100,100,-75,-94,-91,100,-77,100,100,100,100,100,100,100,-59,35
33,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-81,100,100,100,-93,100,100,100,100,100,100,100,-61,35
34,-84,-76,100,100,-74,-61,100,100,100,100,100,100,-75,-93,100,100,-78,100,100,100,100,100,100,100,-59,35
35,-80,-74,100,100,-80,-57,100,100,100,100,100,100,-81,-86,100,100,-82,100,100,100,100,100,100,100,-61,35
36,-80,-80,100,100,-80,-57,100,100,-92,100,100,100,-81,100,-98,100,-91,100,100,100,100,100,100,100,-60,35
37,100,-75,100,100,-88,-64,100,100,100,100,100,100,-76,-86,100,100,-81,100,100,100,100,100,100,100,-60,35
38,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-81,-86,100,100,-91,100,100,100,100,100,100,100,-61,35
39,-88,-76,100,100,-75,-62,100,100,100,100,100,100,-75,-85,-91,100,-77,100,100,100,100,100,100,100,-59,35
40,-88,-74,100,100,-87,-64,100,100,100,100,100,100,-76,-85,100,100,-80,100,100,100,100,100,100,100,-60,35
41,-83,-76,100,100,-75,-61,100,100,100,100,100,100,-75,100,-91,100,-78,100,100,100,100,100,100,100,-59,35
42,-87,-76,100,100,-87,-64,100,100,100,100,100,100,-77,-86,-91,100,-78,100,100,100,100,100,100,100,-60,35
