index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
176,2022-11-19-14:27:45:706,0.026513796,-0.06956462,-0.7908185,0.6075063,0.0001537711,2.019064,9.59655,0.54209137,0.50498724,0.30331993
177,2022-11-19-14:27:45:717,0.026513796,-0.06956462,-0.7908185,0.6075063,0.0001537711,2.019064,9.59655,0.54209137,0.50498724,0.30331993
178,2022-11-19-14:27:45:728,0.038746316,-0.07973038,-0.79302114,0.60271007,-0.014226517,2.0482888,9.590343,0.5325768,0.49401593,0.6794119
179,2022-11-19-14:27:45:738,0.038703866,-0.079691984,-0.7932969,0.6023549,-0.03851801,2.094366,9.58032,0.3821438,0.769912,0.9618921
180,2022-11-19-14:27:45:749,0.038703866,-0.079691984,-0.7932969,0.6023549,-0.03851801,2.094366,9.58032,0.3821438,0.769912,0.9618921
181,2022-11-19-14:27:45:760,0.05393291,-0.086641364,-0.7928704,0.6007837,-0.03851801,2.094366,9.58032,0.3821438,0.769912,0.9618921
182,2022-11-19-14:27:45:771,0.053681348,-0.08568363,-0.7951201,0.59796387,-0.057336893,2.1448798,9.569043,0.33403045,1.2299957,1.3343697
183,2022-11-19-14:27:45:780,0.053681348,-0.08568363,-0.7951201,0.59796387,-0.057336893,2.1448798,9.569043,0.33403045,1.2299957,1.3343697
184,2022-11-19-14:27:45:791,0.053681348,-0.08568363,-0.7951201,0.59796387,-0.05942779,2.189304,9.558965,0.5254041,1.5639284,1.682064
185,2022-11-19-14:27:45:801,0.053681348,-0.08568363,-0.7951201,0.59796387,-0.06700253,2.2193763,9.551977,0.15468033,1.2197719,2.0063095
186,2022-11-19-14:27:45:810,0.06374808,-0.09541951,-0.79490423,0.59578395,-0.06700253,2.2193763,9.551977,0.15468033,1.2197719,2.0063095
187,2022-11-19-14:27:45:821,0.06374808,-0.09541951,-0.79490423,0.59578395,-0.09263966,2.2295556,9.549392,-0.07322568,0.93777657,2.9184628
188,2022-11-19-14:27:45:831,0.0637649,-0.095523186,-0.7949673,0.59568155,-0.09263966,2.2295556,9.549392,-0.07322568,0.93777657,2.9184628
189,2022-11-19-14:27:45:841,0.06602524,-0.109039195,-0.7933518,0.5952681,-0.10920202,2.2415657,9.546405,-0.12817869,0.51702785,3.3313513
190,2022-11-19-14:27:45:852,0.06602524,-0.109039195,-0.7933518,0.5952681,-0.10920202,2.2415657,9.546405,-0.12817869,0.51702785,3.3313513
191,2022-11-19-14:27:45:863,0.06607576,-0.110215455,-0.79336107,0.5950335,-0.13166058,2.2808063,9.536822,-0.8190155,0.088330984,2.9842062
192,2022-11-19-14:27:45:876,0.06264832,-0.11354752,-0.79287773,0.59542173,-0.13166058,2.2808063,9.536822,-0.8190155,0.088330984,2.9842062
